epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0146,1.85439,4.34155,1.74108,0.00309,0.69444,0.02706,0.01502,2.12887,3.37848,1.90434,2.499e-05,2.499e-05,2.499e-05
2,22.5013,1.99384,4.36937,1.86734,0.0044,0.70833,0.03635,0.01709,2.01422,3.40069,1.75355,5.44615e-05,5.44615e-05,5.44615e-05
3,24.3283,1.85825,4.254,1.7076,0.00541,0.625,0.04225,0.02478,1.78197,3.43385,1.65257,7.95348e-05,7.95348e-05,7.95348e-05
4,25.7933,1.62778,4.27539,1.63302,0.00632,0.61111,0.05946,0.03183,1.58775,3.51229,1.58696,0.00010021,0.00010021,0.00010021
5,27.0559,1.575,4.10534,1.57529,0.00645,0.59722,0.0732,0.04804,1.4687,3.5525,1.54792,0.000116487,0.000116487,0.000116487
6,29.4391,1.45228,4.25301,1.57129,0.00621,0.625,0.12176,0.08464,1.44735,3.5516,1.51788,0.000128365,0.000128365,0.000128365
7,30.7198,1.43123,4.16683,1.54544,0.00498,0.625,0.16074,0.10423,1.44135,3.55558,1.50243,0.000135846,0.000135846,0.000135846
8,31.7801,1.33062,4.04197,1.51214,0.00472,0.63889,0.23068,0.14579,1.46843,3.52938,1.50036,0.000138928,0.000138928,0.000138928
9,32.87,1.32964,3.94799,1.44013,0.00486,0.65278,0.272,0.16927,1.45259,3.4925,1.44651,0.000137612,0.000137612,0.000137612
10,33.9662,1.3427,3.83435,1.4624,0.00599,0.75,0.37402,0.22467,1.46261,3.44776,1.39189,0.000131897,0.000131897,0.000131897
11,35.0629,1.30778,3.79637,1.40195,0.00606,0.75,0.37728,0.23266,1.46245,3.40169,1.38853,0.000121785,0.000121785,0.000121785
12,37.0249,1.3419,3.54311,1.50478,0.00598,0.75,0.37507,0.23563,1.4681,3.39739,1.42845,0.000107274,0.000107274,0.000107274
13,38.7223,1.25799,3.67504,1.44012,0.00583,0.73611,0.36549,0.24552,1.44507,3.40782,1.45126,8.83646e-05,8.83646e-05,8.83646e-05
14,39.9592,1.19613,3.58589,1.35813,0.00578,0.73611,0.36467,0.24638,1.42516,3.39372,1.44638,6.50573e-05,6.50573e-05,6.50573e-05
15,41.0631,1.27499,3.61381,1.42823,0.0058,0.75,0.38998,0.24894,1.41885,3.36371,1.42723,3.73517e-05,3.73517e-05,3.73517e-05
